applicant_id,age,employment_type,annual_income,years_employed,cibil_score,existing_loans_count,existing_emi_monthly,requested_loan_amount,loan_tenure_months,dependents,dti_ratio,previous_default,savings_balance,approved
TRAD-001072,54,Business Owner,1054000.0,28,640,0,0.0,965000.0,24,4,0.458,0,485000.0,1
TRAD-001073,44,Self-Employed,527000.0,8,632,0,0.0,582000.0,36,0,0.368,0,955000.0,1
TRAD-001074,41,Business Owner,447000.0,23,835,0,0.0,1592000.0,24,2,1.781,0,392000.0,0
TRAD-001075,28,Business Owner,497000.0,29,882,0,0.0,1641000.0,12,1,3.0,0,127000.0,0
TRAD-001076,52,Salaried,596000.0,7,711,1,5800.0,700000.0,240,0,0.176,0,334000.0,1
TRAD-001077,28,Self-Employed,625000.0,19,675,0,0.0,2753000.0,12,0,3.0,0,77000.0,0
TRAD-001078,39,Self-Employed,417000.0,1,643,0,0.0,402000.0,180,3,0.064,1,612000.0,0
TRAD-001079,57,Salaried,120000.0,19,700,0,0.0,1555000.0,48,2,3.0,0,312000.0,0
TRAD-001080,61,Salaried,493000.0,13,648,1,6900.0,282000.0,36,1,0.359,0,563000.0,1
TRAD-001081,64,Salaried,751000.0,2,691,1,9900.0,1402000.0,60,4,0.532,0,262000.0,0
TRAD-001082,63,Self-Employed,688000.0,20,739,1,4900.0,1352000.0,240,1,0.184,0,585000.0,1
TRAD-001083,45,Self-Employed,986000.0,29,661,0,0.0,242000.0,84,2,0.035,1,0.0,1
TRAD-001084,29,Self-Employed,1198000.0,2,682,2,22300.0,815000.0,12,4,0.904,0,306000.0,0
TRAD-001085,57,Salaried,863000.0,26,682,1,8900.0,2114000.0,120,3,0.369,0,435000.0,1
TRAD-001086,56,Salaried,1037000.0,25,670,2,14200.0,371000.0,120,3,0.2,0,233000.0,1
TRAD-001087,64,Salaried,865000.0,16,658,0,0.0,1161000.0,240,1,0.067,0,390000.0,1
TRAD-001088,49,Salaried,1129000.0,27,772,1,4900.0,1118000.0,24,4,0.547,0,386000.0,1
TRAD-001089,27,Business Owner,1168000.0,9,532,1,8500.0,873000.0,180,2,0.137,0,562000.0,1
TRAD-001090,43,Business Owner,916000.0,21,850,0,0.0,50000.0,48,1,0.014,0,455000.0,1
TRAD-001091,40,Business Owner,848000.0,20,713,1,11300.0,1439000.0,48,3,0.584,0,398000.0,1
TRAD-001092,58,Business Owner,593000.0,17,758,2,7300.0,908000.0,84,2,0.366,1,520000.0,1
TRAD-001093,38,Business Owner,638000.0,25,769,1,11800.0,1617000.0,60,0,0.729,0,0.0,1
TRAD-001094,35,Salaried,555000.0,26,633,0,0.0,1051000.0,36,0,0.631,0,112000.0,1
TRAD-001095,24,Salaried,824000.0,23,613,0,0.0,942000.0,24,0,0.572,0,0.0,1
TRAD-001096,57,Salaried,448000.0,17,602,1,6600.0,1142000.0,84,0,0.541,0,437000.0,0
TRAD-001097,54,Salaried,596000.0,29,677,0,0.0,258000.0,240,1,0.022,0,403000.0,1
TRAD-001098,22,Salaried,120000.0,16,766,1,4500.0,1913000.0,36,1,3.0,0,646000.0,0
TRAD-001099,40,Salaried,1132000.0,19,645,1,10300.0,656000.0,60,1,0.225,0,388000.0,1
TRAD-001100,42,Business Owner,588000.0,5,758,0,0.0,664000.0,36,4,0.376,0,142000.0,1
TRAD-001101,41,Salaried,778000.0,9,475,3,35900.0,1740000.0,36,4,1.299,0,334000.0,0
TRAD-001102,61,Business Owner,1058000.0,27,663,0,0.0,1061000.0,180,4,0.067,1,0.0,1
TRAD-001103,27,Self-Employed,734000.0,14,811,1,14000.0,746000.0,120,0,0.331,0,198000.0,1
TRAD-001104,34,Self-Employed,1054000.0,15,684,1,11900.0,1169000.0,60,2,0.357,0,0.0,1
TRAD-001105,28,Self-Employed,302000.0,24,621,0,0.0,1307000.0,60,0,0.866,1,382000.0,0
TRAD-001106,31,Salaried,1321000.0,9,638,0,0.0,823000.0,48,3,0.156,1,230000.0,1
TRAD-001107,60,Self-Employed,954000.0,7,412,1,11200.0,1500000.0,240,0,0.219,0,267000.0,0
TRAD-001108,62,Salaried,709000.0,0,604,1,6800.0,74000.0,240,1,0.12,0,67000.0,0
TRAD-001109,22,Business Owner,1049000.0,6,800,1,9800.0,1070000.0,12,1,1.132,1,133000.0,0
TRAD-001110,48,Salaried,323000.0,15,645,2,23000.0,1420000.0,180,2,1.148,0,473000.0,0
TRAD-001111,31,Salaried,569000.0,21,656,0,0.0,1304000.0,48,1,0.573,0,0.0,1
TRAD-001112,29,Self-Employed,1054000.0,9,478,1,11000.0,50000.0,84,2,0.132,0,426000.0,1
TRAD-001113,33,Self-Employed,127000.0,13,545,2,25700.0,818000.0,240,0,2.75,0,97000.0,0
TRAD-001114,29,Salaried,807000.0,6,813,2,24900.0,111000.0,48,2,0.405,0,0.0,1
TRAD-001115,42,Self-Employed,799000.0,24,759,0,0.0,1736000.0,60,0,0.435,1,607000.0,1
TRAD-001116,64,Salaried,1201000.0,15,577,0,0.0,646000.0,84,0,0.077,0,632000.0,1
TRAD-001117,46,Self-Employed,207000.0,4,640,2,33800.0,1664000.0,36,0,3.0,0,165000.0,0
TRAD-001118,52,Salaried,1101000.0,18,697,0,0.0,109000.0,36,1,0.033,0,163000.0,1
TRAD-001119,42,Salaried,493000.0,10,586,0,0.0,1154000.0,84,3,0.334,0,237000.0,0
TRAD-001120,21,Salaried,525000.0,25,510,0,0.0,905000.0,24,1,0.862,0,97000.0,0
TRAD-001121,24,Salaried,308000.0,8,685,0,0.0,2697000.0,84,2,1.251,0,142000.0,0
TRAD-001122,32,Salaried,345000.0,25,754,0,0.0,1666000.0,36,3,1.61,0,413000.0,0
TRAD-001123,31,Salaried,763000.0,20,756,0,0.0,1624000.0,12,3,2.128,0,818000.0,0
TRAD-001124,57,Salaried,339000.0,4,783,1,15100.0,2218000.0,12,2,3.0,0,211000.0,0
TRAD-001125,58,Salaried,857000.0,22,552,0,0.0,1084000.0,36,0,0.422,0,556000.0,1
TRAD-001126,58,Salaried,464000.0,21,706,1,2300.0,835000.0,12,3,1.859,0,388000.0,0
TRAD-001127,49,Salaried,310000.0,13,674,0,0.0,761000.0,36,1,0.818,0,0.0,1
TRAD-001128,45,Self-Employed,502000.0,4,692,2,17900.0,1113000.0,48,2,0.982,1,294000.0,0
TRAD-001129,49,Business Owner,744000.0,14,680,0,0.0,50000.0,36,4,0.022,0,262000.0,1
TRAD-001130,38,Salaried,572000.0,18,637,1,11000.0,902000.0,60,0,0.546,0,666000.0,1
TRAD-001131,50,Business Owner,660000.0,3,413,2,4100.0,1047000.0,48,0,0.471,1,676000.0,0
TRAD-001132,55,Salaried,845000.0,10,810,1,9000.0,799000.0,12,1,1.073,1,394000.0,0
TRAD-001133,54,Salaried,953000.0,21,731,2,18600.0,50000.0,48,2,0.247,0,604000.0,1
TRAD-001134,48,Self-Employed,563000.0,16,559,0,0.0,803000.0,12,2,1.426,0,263000.0,0
TRAD-001135,23,Self-Employed,358000.0,29,745,0,0.0,50000.0,120,1,0.014,1,580000.0,1
TRAD-001136,52,Business Owner,671000.0,6,658,0,0.0,2053000.0,48,4,0.765,0,325000.0,0
TRAD-001137,37,Salaried,782000.0,23,660,1,13200.0,733000.0,84,0,0.336,0,574000.0,1
TRAD-001138,53,Self-Employed,241000.0,12,627,0,0.0,50000.0,24,2,0.104,0,600000.0,1
TRAD-001139,44,Salaried,401000.0,6,751,1,8100.0,766000.0,48,2,0.72,0,479000.0,0
TRAD-001140,59,Salaried,449000.0,28,624,2,39500.0,1482000.0,180,3,1.276,0,115000.0,0
TRAD-001141,35,Salaried,592000.0,18,596,0,0.0,1014000.0,24,2,0.856,0,195000.0,1
TRAD-001142,61,Business Owner,437000.0,16,808,0,0.0,306000.0,240,0,0.035,0,488000.0,1
TRAD-001143,58,Salaried,848000.0,8,683,1,10000.0,459000.0,48,1,0.277,0,523000.0,1
TRAD-001144,35,Business Owner,201000.0,26,686,1,17000.0,714000.0,24,0,2.791,0,340000.0,0
TRAD-001145,42,Self-Employed,208000.0,0,766,2,21100.0,614000.0,24,2,2.693,0,222000.0,0
TRAD-001146,44,Self-Employed,557000.0,3,637,1,11400.0,81000.0,60,4,0.275,0,348000.0,0
TRAD-001147,54,Self-Employed,601000.0,5,656,0,0.0,856000.0,240,1,0.071,1,230000.0,0
TRAD-001148,51,Business Owner,243000.0,19,729,0,0.0,50000.0,60,1,0.041,1,232000.0,1
TRAD-001149,58,Salaried,480000.0,3,554,0,0.0,1517000.0,24,2,1.58,0,790000.0,0
TRAD-001150,37,Salaried,538000.0,23,721,1,7900.0,1596000.0,48,0,0.918,1,181000.0,0
TRAD-001151,43,Self-Employed,540000.0,5,628,1,12800.0,248000.0,180,4,0.315,0,427000.0,1
TRAD-001152,39,Salaried,693000.0,20,781,2,19900.0,434000.0,240,3,0.376,0,338000.0,1
TRAD-001153,61,Salaried,465000.0,23,752,1,8200.0,625000.0,84,3,0.404,0,0.0,1
TRAD-001154,34,Salaried,1064000.0,26,739,0,0.0,880000.0,180,1,0.055,1,0.0,1
TRAD-001155,46,Salaried,787000.0,8,547,1,1100.0,1067000.0,180,1,0.107,0,280000.0,1
TRAD-001156,26,Salaried,424000.0,2,690,2,7600.0,1201000.0,48,2,0.923,0,0.0,0
TRAD-001157,58,Salaried,676000.0,22,588,1,0.0,1186000.0,180,1,0.117,0,758000.0,1
TRAD-001158,37,Business Owner,685000.0,13,696,1,13800.0,1910000.0,12,0,3.0,0,210000.0,0
TRAD-001159,35,Salaried,990000.0,28,480,1,8600.0,939000.0,180,3,0.167,0,189000.0,1
TRAD-001160,46,Business Owner,482000.0,5,554,3,38600.0,53000.0,84,4,0.977,0,606000.0,0
TRAD-001161,42,Business Owner,865000.0,17,813,1,8600.0,50000.0,84,1,0.128,0,265000.0,1
TRAD-001162,58,Salaried,662000.0,3,735,1,13100.0,1963000.0,240,3,0.386,0,463000.0,0
TRAD-001163,44,Self-Employed,1068000.0,14,666,2,17000.0,1231000.0,36,4,0.575,0,157000.0,1
TRAD-001164,43,Self-Employed,1011000.0,0,614,1,10600.0,1034000.0,24,3,0.637,1,311000.0,0
TRAD-001165,25,Self-Employed,705000.0,22,597,0,0.0,1192000.0,84,4,0.242,0,542000.0,1
TRAD-001166,21,Salaried,577000.0,18,719,1,10400.0,1004000.0,120,4,0.39,1,85000.0,0
TRAD-001167,38,Salaried,792000.0,2,667,0,0.0,1182000.0,12,1,1.492,0,432000.0,0
TRAD-001168,64,Salaried,599000.0,14,847,2,5000.0,658000.0,60,0,0.32,0,0.0,1
TRAD-001169,61,Self-Employed,1120000.0,12,682,1,8700.0,1586000.0,48,4,0.447,0,616000.0,1
TRAD-001170,48,Business Owner,672000.0,20,706,1,9800.0,559000.0,180,3,0.23,0,161000.0,1
TRAD-001171,48,Self-Employed,536000.0,14,568,0,0.0,313000.0,180,0,0.039,0,279000.0,1
TRAD-001172,38,Self-Employed,521000.0,13,666,5,37000.0,50000.0,24,4,0.9,0,276000.0,0
TRAD-001173,28,Business Owner,310000.0,24,717,0,0.0,745000.0,84,0,0.343,0,56000.0,1
TRAD-001174,21,Self-Employed,806000.0,15,665,2,30200.0,1724000.0,120,1,0.664,1,37000.0,0
TRAD-001175,35,Salaried,420000.0,24,654,0,0.0,603000.0,36,4,0.479,0,430000.0,1
TRAD-001176,34,Business Owner,957000.0,26,731,0,0.0,50000.0,240,1,0.003,0,442000.0,1
TRAD-001177,29,Salaried,288000.0,25,844,1,11100.0,1085000.0,240,3,0.651,0,79000.0,0
TRAD-001178,32,Salaried,686000.0,28,714,1,7800.0,477000.0,24,0,0.484,0,435000.0,1
TRAD-001179,22,Salaried,972000.0,20,809,0,0.0,1906000.0,12,2,1.961,0,439000.0,1
TRAD-001180,47,Business Owner,120000.0,16,759,1,9400.0,1598000.0,84,3,2.842,0,205000.0,0
TRAD-001181,61,Salaried,1215000.0,15,803,1,14400.0,74000.0,180,4,0.146,0,0.0,1
TRAD-001182,51,Salaried,531000.0,6,642,2,8700.0,787000.0,120,2,0.345,0,291000.0,1
TRAD-001183,40,Salaried,690000.0,24,680,0,0.0,409000.0,120,0,0.059,0,391000.0,1
TRAD-001184,39,Salaried,810000.0,20,681,2,20900.0,146000.0,120,2,0.328,0,285000.0,1
TRAD-001185,34,Salaried,853000.0,26,752,0,0.0,864000.0,24,3,0.506,0,152000.0,1
TRAD-001186,27,Self-Employed,727000.0,21,775,1,10100.0,1432000.0,12,2,2.136,0,417000.0,0
TRAD-001187,47,Business Owner,929000.0,14,712,1,11700.0,847000.0,12,4,1.063,0,616000.0,1
TRAD-001188,45,Salaried,795000.0,8,783,1,11100.0,565000.0,240,1,0.203,0,107000.0,1
TRAD-001189,21,Salaried,1143000.0,29,646,1,3100.0,50000.0,240,4,0.035,0,225000.0,1
TRAD-001190,39,Salaried,796000.0,22,784,1,10100.0,467000.0,180,3,0.191,1,986000.0,1
TRAD-001191,33,Salaried,1200000.0,26,797,0,0.0,1259000.0,12,2,1.049,0,373000.0,1
TRAD-001192,28,Self-Employed,902000.0,17,764,1,9700.0,50000.0,180,0,0.133,0,0.0,1
TRAD-001193,51,Self-Employed,144000.0,15,713,1,3800.0,1734000.0,240,1,0.919,0,181000.0,0
TRAD-001194,44,Self-Employed,1381000.0,1,768,1,7700.0,521000.0,180,3,0.092,0,111000.0,1
TRAD-001195,48,Salaried,489000.0,2,615,2,22500.0,1026000.0,48,4,1.077,0,395000.0,0
TRAD-001196,52,Self-Employed,1069000.0,21,719,0,0.0,641000.0,12,2,0.6,0,377000.0,1
TRAD-001197,64,Salaried,658000.0,6,729,2,2300.0,135000.0,48,1,0.093,0,141000.0,1
TRAD-001198,56,Salaried,947000.0,2,574,2,20900.0,1186000.0,24,3,0.891,0,764000.0,1
TRAD-001199,48,Business Owner,457000.0,23,745,0,0.0,511000.0,84,4,0.16,0,321000.0,1
TRAD-001200,59,Self-Employed,825000.0,18,581,0,0.0,359000.0,180,0,0.029,0,186000.0,1
TRAD-001201,42,Business Owner,579000.0,3,659,2,22700.0,50000.0,60,1,0.488,0,0.0,0
TRAD-001202,64,Business Owner,1092000.0,14,704,1,8100.0,1747000.0,12,3,1.689,1,76000.0,0
TRAD-001203,54,Self-Employed,773000.0,14,631,0,0.0,904000.0,48,0,0.292,1,0.0,0
TRAD-001204,49,Business Owner,912000.0,0,708,3,40700.0,1619000.0,180,4,0.654,0,252000.0,0
TRAD-001205,60,Salaried,120000.0,18,706,0,0.0,1303000.0,84,1,1.551,0,79000.0,0
TRAD-001206,43,Salaried,626000.0,11,622,0,0.0,1619000.0,12,2,2.586,0,496000.0,0
TRAD-001207,52,Salaried,765000.0,26,754,0,0.0,533000.0,48,2,0.174,0,154000.0,1
TRAD-001208,33,Salaried,713000.0,3,627,1,12300.0,50000.0,48,1,0.225,0,510000.0,1
TRAD-001209,63,Salaried,919000.0,25,900,1,11300.0,1396000.0,12,0,1.667,0,423000.0,1
TRAD-001210,48,Salaried,548000.0,0,690,0,0.0,985000.0,48,0,0.449,0,461000.0,0
TRAD-001211,55,Self-Employed,664000.0,22,589,0,0.0,597000.0,180,1,0.06,0,524000.0,1
TRAD-001212,41,Self-Employed,981000.0,23,606,1,17200.0,1383000.0,24,1,0.915,0,798000.0,1
TRAD-001213,59,Self-Employed,120000.0,12,809,2,17000.0,1100000.0,60,4,3.0,0,88000.0,0
TRAD-001214,24,Salaried,815000.0,8,661,1,9400.0,1315000.0,84,3,0.369,0,511000.0,1
TRAD-001215,26,Self-Employed,557000.0,4,570,0,0.0,235000.0,120,0,0.042,0,400000.0,1
TRAD-001216,43,Salaried,395000.0,10,781,0,0.0,1535000.0,36,3,1.295,0,566000.0,1
TRAD-001217,53,Salaried,744000.0,20,661,2,9400.0,897000.0,84,3,0.324,0,328000.0,1
TRAD-001218,56,Salaried,994000.0,21,762,2,19000.0,1605000.0,120,0,0.391,0,594000.0,1
TRAD-001219,40,Salaried,941000.0,5,789,2,15300.0,1529000.0,84,2,0.427,1,0.0,0
TRAD-001220,49,Salaried,612000.0,0,726,0,0.0,1346000.0,180,3,0.147,0,49000.0,1
TRAD-001221,45,Business Owner,895000.0,16,900,1,5400.0,828000.0,24,3,0.535,0,158000.0,1
TRAD-001222,63,Self-Employed,893000.0,17,536,2,16700.0,1361000.0,12,2,1.748,1,281000.0,0
TRAD-001223,49,Self-Employed,626000.0,29,622,0,0.0,1622000.0,240,2,0.13,0,312000.0,1
TRAD-001224,39,Salaried,456000.0,22,676,3,29300.0,1294000.0,120,3,1.055,1,115000.0,0
TRAD-001225,63,Business Owner,472000.0,16,900,0,0.0,1032000.0,60,4,0.437,0,52000.0,1
TRAD-001226,25,Self-Employed,885000.0,17,871,0,0.0,1363000.0,84,0,0.22,0,136000.0,1
TRAD-001227,64,Salaried,638000.0,19,822,1,7900.0,558000.0,240,2,0.192,0,0.0,1
TRAD-001228,27,Self-Employed,357000.0,13,625,1,9700.0,1884000.0,180,4,0.678,0,228000.0,0
TRAD-001229,33,Salaried,178000.0,20,636,0,0.0,50000.0,180,2,0.019,0,285000.0,1
TRAD-001230,57,Salaried,883000.0,5,621,1,11600.0,922000.0,84,0,0.307,0,410000.0,1
TRAD-001231,53,Salaried,497000.0,24,626,1,7800.0,636000.0,120,0,0.316,1,342000.0,1
TRAD-001232,63,Salaried,743000.0,25,842,1,9900.0,483000.0,84,3,0.253,0,748000.0,1
TRAD-001233,53,Salaried,997000.0,13,677,2,3000.0,1098000.0,60,2,0.256,1,503000.0,1
TRAD-001234,49,Salaried,284000.0,13,689,1,4000.0,168000.0,120,3,0.228,0,484000.0,1
TRAD-001235,36,Salaried,637000.0,14,774,1,7400.0,2299000.0,12,0,3.0,0,391000.0,0
TRAD-001236,21,Business Owner,602000.0,24,542,0,0.0,50000.0,180,3,0.006,0,434000.0,1
TRAD-001237,26,Salaried,756000.0,5,705,1,11100.0,282000.0,36,2,0.301,1,245000.0,0
TRAD-001238,34,Salaried,997000.0,10,596,0,0.0,220000.0,60,2,0.044,0,325000.0,1
TRAD-001239,22,Salaried,278000.0,18,672,1,5300.0,1029000.0,84,2,0.758,0,780000.0,0
TRAD-001240,43,Business Owner,810000.0,20,644,2,9100.0,1559000.0,36,1,0.776,0,282000.0,1
TRAD-001241,55,Self-Employed,939000.0,8,639,0,0.0,1242000.0,36,3,0.441,0,0.0,1
TRAD-001242,63,Business Owner,598000.0,3,721,0,0.0,1857000.0,24,1,1.553,0,474000.0,0
TRAD-001243,42,Salaried,612000.0,15,721,0,0.0,362000.0,12,2,0.592,0,519000.0,1
TRAD-001244,59,Salaried,767000.0,19,679,0,0.0,1328000.0,180,4,0.115,1,339000.0,1
TRAD-001245,64,Self-Employed,747000.0,22,735,0,0.0,703000.0,60,3,0.188,0,0.0,1
TRAD-001246,58,Salaried,813000.0,0,617,0,0.0,1048000.0,120,0,0.129,1,622000.0,0
TRAD-001247,41,Business Owner,807000.0,0,765,1,2200.0,1621000.0,24,0,1.037,0,357000.0,0
TRAD-001248,35,Business Owner,375000.0,11,680,0,0.0,50000.0,180,2,0.009,0,222000.0,1
TRAD-001249,64,Salaried,927000.0,16,654,0,0.0,2194000.0,36,3,0.789,0,597000.0,1
TRAD-001250,31,Business Owner,977000.0,0,624,0,0.0,806000.0,60,2,0.165,1,0.0,0
TRAD-001251,39,Self-Employed,702000.0,5,677,0,0.0,50000.0,60,4,0.014,0,328000.0,1
TRAD-001252,24,Salaried,232000.0,12,878,0,0.0,450000.0,120,4,0.194,0,165000.0,1
TRAD-001253,55,Salaried,618000.0,8,694,0,0.0,966000.0,24,2,0.782,1,673000.0,0
TRAD-001254,49,Salaried,704000.0,21,591,1,10900.0,450000.0,240,1,0.218,0,361000.0,1
TRAD-001255,24,Business Owner,330000.0,1,787,0,0.0,50000.0,24,0,0.076,1,84000.0,0
TRAD-001256,30,Salaried,549000.0,26,655,1,9900.0,963000.0,84,0,0.467,0,585000.0,1
TRAD-001257,45,Salaried,255000.0,5,727,0,0.0,431000.0,24,3,0.845,0,0.0,0
TRAD-001258,44,Self-Employed,820000.0,13,642,4,7600.0,1323000.0,240,1,0.192,0,427000.0,1
TRAD-001259,56,Salaried,696000.0,29,822,1,11400.0,206000.0,84,0,0.239,0,0.0,1
TRAD-001260,32,Salaried,189000.0,19,644,2,22100.0,2370000.0,240,0,2.03,0,184000.0,0
TRAD-001261,61,Self-Employed,748000.0,29,833,0,0.0,1234000.0,240,2,0.082,0,240000.0,1
TRAD-001262,40,Salaried,634000.0,0,600,1,5100.0,1028000.0,36,2,0.637,0,528000.0,0
TRAD-001263,57,Salaried,795000.0,21,672,1,11400.0,1305000.0,36,0,0.719,0,851000.0,1
TRAD-001264,31,Salaried,540000.0,2,833,1,7800.0,50000.0,24,2,0.22,0,0.0,1
TRAD-001265,22,Salaried,426000.0,18,716,1,13400.0,577000.0,120,2,0.513,0,412000.0,1
TRAD-001266,23,Salaried,434000.0,9,900,0,0.0,2059000.0,12,0,3.0,0,851000.0,0
TRAD-001267,37,Self-Employed,499000.0,23,674,1,9200.0,692000.0,24,4,0.915,0,157000.0,0
TRAD-001268,62,Business Owner,655000.0,3,724,0,0.0,859000.0,240,1,0.066,0,141000.0,1
TRAD-001269,23,Salaried,691000.0,26,881,1,10200.0,597000.0,84,0,0.301,0,359000.0,1
TRAD-001270,37,Business Owner,597000.0,14,556,2,24400.0,1852000.0,60,0,1.111,0,507000.0,0
TRAD-001271,25,Self-Employed,531000.0,15,544,4,44500.0,741000.0,24,2,1.703,1,464000.0,0
TRAD-001272,61,Self-Employed,552000.0,17,624,1,7300.0,86000.0,180,3,0.169,0,210000.0,1
TRAD-001273,50,Self-Employed,1352000.0,1,777,0,0.0,2576000.0,180,1,0.127,0,99000.0,1
TRAD-001274,54,Self-Employed,434000.0,9,547,1,11600.0,50000.0,12,3,0.436,0,629000.0,0
TRAD-001275,52,Business Owner,494000.0,21,757,1,10500.0,837000.0,120,1,0.424,0,106000.0,1
TRAD-001276,49,Salaried,1572000.0,28,750,0,0.0,353000.0,36,0,0.075,1,0.0,1
TRAD-001277,55,Salaried,768000.0,29,891,1,11000.0,444000.0,120,3,0.23,0,0.0,1
TRAD-001278,21,Salaried,264000.0,16,799,0,0.0,211000.0,36,3,0.266,0,156000.0,1
TRAD-001279,59,Salaried,886000.0,7,735,3,29900.0,549000.0,12,3,1.025,0,673000.0,0
TRAD-001280,53,Self-Employed,395000.0,14,829,3,46700.0,1540000.0,120,2,1.809,0,3000.0,0
TRAD-001281,53,Salaried,905000.0,13,751,0,0.0,50000.0,180,4,0.004,0,680000.0,1
TRAD-001282,38,Salaried,591000.0,11,656,1,9300.0,1720000.0,120,4,0.48,0,627000.0,1
TRAD-001283,56,Salaried,527000.0,10,591,0,0.0,1607000.0,24,1,1.525,0,356000.0,0
TRAD-001284,37,Salaried,1101000.0,26,646,1,11000.0,1231000.0,60,3,0.344,0,0.0,1
TRAD-001285,23,Self-Employed,809000.0,11,696,0,0.0,982000.0,60,0,0.243,1,4000.0,0
TRAD-001286,60,Self-Employed,922000.0,0,717,1,14200.0,1080000.0,180,0,0.263,0,142000.0,1
TRAD-001287,31,Salaried,772000.0,21,497,2,11100.0,1825000.0,120,2,0.409,0,733000.0,1
TRAD-001288,25,Salaried,526000.0,19,679,2,14400.0,50000.0,180,3,0.335,0,158000.0,1
TRAD-001289,48,Salaried,821000.0,11,703,2,13200.0,1373000.0,84,2,0.432,0,107000.0,1
TRAD-001290,31,Salaried,989000.0,18,752,1,16300.0,415000.0,240,0,0.219,0,347000.0,1
TRAD-001291,58,Self-Employed,688000.0,28,855,3,24700.0,1437000.0,180,3,0.57,0,0.0,1
TRAD-001292,40,Self-Employed,1154000.0,27,718,0,0.0,501000.0,24,3,0.217,0,294000.0,1
TRAD-001293,21,Salaried,888000.0,23,614,2,1300.0,1359000.0,120,3,0.171,0,100000.0,1
TRAD-001294,62,Salaried,709000.0,17,527,0,0.0,50000.0,12,3,0.071,0,972000.0,1
TRAD-001295,43,Business Owner,720000.0,0,765,1,11100.0,50000.0,120,4,0.192,1,71000.0,0
TRAD-001296,32,Self-Employed,688000.0,15,617,0,0.0,827000.0,24,1,0.601,0,782000.0,1
TRAD-001297,50,Salaried,300000.0,24,782,0,0.0,1833000.0,36,0,2.037,0,15000.0,0
TRAD-001298,44,Salaried,625000.0,25,833,0,0.0,1249000.0,84,2,0.285,0,366000.0,1
TRAD-001299,22,Salaried,712000.0,23,553,1,16400.0,1244000.0,48,4,0.713,0,425000.0,1
TRAD-001300,54,Business Owner,533000.0,29,753,1,19800.0,1459000.0,84,0,0.837,0,335000.0,1
TRAD-001301,38,Salaried,745000.0,15,823,0,0.0,642000.0,60,4,0.172,0,320000.0,1
TRAD-001302,51,Salaried,656000.0,3,797,1,15200.0,1297000.0,84,3,0.56,0,515000.0,1
TRAD-001303,60,Business Owner,867000.0,14,501,1,16100.0,523000.0,84,0,0.309,1,404000.0,1
TRAD-001304,47,Self-Employed,836000.0,9,619,2,35700.0,696000.0,24,2,0.929,0,257000.0,0
TRAD-001305,50,Salaried,697000.0,25,578,0,0.0,777000.0,120,1,0.111,1,131000.0,1
TRAD-001306,32,Salaried,267000.0,23,750,1,5500.0,545000.0,240,3,0.349,0,259000.0,1
TRAD-001307,31,Salaried,1151000.0,12,739,0,0.0,857000.0,84,3,0.106,1,255000.0,1
TRAD-001308,39,Self-Employed,610000.0,11,444,2,10300.0,735000.0,84,1,0.375,0,251000.0,0
TRAD-001309,58,Salaried,627000.0,4,671,1,4900.0,440000.0,120,2,0.164,0,319000.0,1
TRAD-001310,44,Business Owner,554000.0,1,776,1,5000.0,809000.0,12,0,1.569,0,0.0,0
TRAD-001311,36,Business Owner,513000.0,9,714,2,16900.0,1001000.0,24,0,1.371,1,43000.0,0
TRAD-001312,55,Salaried,1082000.0,7,714,0,0.0,185000.0,84,3,0.024,1,508000.0,1
TRAD-001313,58,Self-Employed,1038000.0,7,665,0,0.0,1171000.0,48,1,0.282,0,0.0,1
TRAD-001314,60,Salaried,774000.0,29,599,4,26000.0,579000.0,120,4,0.478,0,599000.0,1
TRAD-001315,34,Salaried,620000.0,20,698,2,8400.0,1029000.0,240,2,0.246,1,160000.0,0
TRAD-001316,52,Self-Employed,823000.0,16,705,1,13200.0,468000.0,180,1,0.23,0,717000.0,1
TRAD-001317,46,Salaried,671000.0,5,758,1,9000.0,1583000.0,24,4,1.341,0,607000.0,0
TRAD-001318,40,Salaried,597000.0,25,766,3,33900.0,1521000.0,36,0,1.531,0,218000.0,0
TRAD-001319,38,Salaried,745000.0,19,708,0,0.0,218000.0,24,4,0.146,0,244000.0,1
TRAD-001320,26,Salaried,526000.0,15,804,1,8200.0,1241000.0,12,0,2.546,0,698000.0,0
TRAD-001321,33,Salaried,721000.0,13,664,0,0.0,1840000.0,120,4,0.255,0,618000.0,1
TRAD-001322,45,Self-Employed,707000.0,16,563,1,10800.0,284000.0,120,2,0.223,0,543000.0,1
TRAD-001323,60,Business Owner,819000.0,25,745,2,15500.0,335000.0,24,2,0.432,0,586000.0,1
TRAD-001324,59,Self-Employed,477000.0,21,712,1,2300.0,1378000.0,120,3,0.347,0,28000.0,1
TRAD-001325,29,Business Owner,849000.0,14,747,0,0.0,50000.0,60,3,0.012,0,351000.0,1
TRAD-001326,50,Salaried,396000.0,20,580,0,0.0,395000.0,180,1,0.066,0,107000.0,1
TRAD-001327,24,Business Owner,490000.0,27,870,0,0.0,240000.0,120,0,0.049,0,22000.0,1
TRAD-001328,50,Salaried,502000.0,9,767,0,0.0,1386000.0,36,4,0.92,0,341000.0,0
TRAD-001329,36,Salaried,350000.0,27,673,2,7100.0,450000.0,60,2,0.501,0,197000.0,0
