applicant_id,age,occupation_type,monthly_upi_txn_count,monthly_upi_turnover,avg_daily_balance,cashflow_volatility,utility_payment_reliability,rent_payment_reliability,months_of_transaction_history,requested_loan_amount,alternate_credit_score,approved
THIN-000735,43,Freelancer,147,77500.0,9300.0,0.058,0.802,0.964,56,244000.0,673,1
THIN-000736,40,Gig Worker,190,107100.0,9860.0,0.184,0.932,0.63,47,65000.0,601,1
THIN-000737,29,Freelancer,117,38400.0,6230.0,0.089,0.963,0.711,59,130000.0,634,1
THIN-000738,26,Vendor,706,72000.0,200.0,0.444,0.779,0.719,11,76000.0,458,0
THIN-000739,23,Shopkeeper,390,35500.0,8160.0,0.538,0.838,0.695,41,91000.0,519,1
THIN-000740,31,Gig Worker,652,115200.0,3220.0,0.529,0.816,0.741,31,40000.0,519,1
THIN-000741,34,Freelancer,101,110900.0,10280.0,0.361,0.563,0.615,50,112000.0,487,1
THIN-000742,52,Freelancer,366,56800.0,3870.0,0.024,0.578,0.752,16,5000.0,626,1
THIN-000743,32,Vendor,194,157000.0,360.0,0.264,0.873,0.881,20,111000.0,533,1
THIN-000744,34,Gig Worker,480,163400.0,14390.0,0.159,0.774,0.233,58,76000.0,598,1
THIN-000745,43,Gig Worker,467,118100.0,8340.0,0.23,0.943,0.826,25,101000.0,606,1
THIN-000746,59,Shopkeeper,144,55300.0,15330.0,0.224,0.584,0.644,4,225000.0,456,0
THIN-000747,41,Vendor,434,66200.0,6530.0,0.127,0.852,0.802,30,71000.0,644,1
THIN-000748,52,Gig Worker,22,71100.0,200.0,0.241,0.702,0.711,11,267000.0,447,1
THIN-000749,43,Gig Worker,25,153100.0,8110.0,0.253,0.789,0.694,24,215000.0,512,1
THIN-000750,25,Vendor,607,136900.0,5750.0,0.068,0.863,0.702,32,135000.0,681,1
THIN-000751,43,Freelancer,64,140500.0,7460.0,0.174,0.764,0.69,34,122000.0,570,1
THIN-000752,35,Gig Worker,331,137700.0,20210.0,0.324,0.785,0.83,51,167000.0,582,1
THIN-000753,40,Gig Worker,646,31400.0,200.0,0.194,0.854,0.788,43,182000.0,599,1
THIN-000754,44,Vendor,108,55300.0,200.0,0.321,0.803,0.786,13,37000.0,454,1
THIN-000755,35,Shopkeeper,703,260200.0,19920.0,0.015,0.624,0.558,39,118000.0,701,1
THIN-000756,55,Shopkeeper,386,109100.0,17260.0,0.109,0.834,0.707,58,182000.0,666,1
THIN-000757,31,Gig Worker,771,87100.0,11990.0,0.401,0.786,0.608,12,15000.0,485,1
THIN-000758,33,Shopkeeper,351,157300.0,3950.0,0.42,0.578,0.353,40,76000.0,488,1
THIN-000759,58,Gig Worker,448,70200.0,3990.0,0.074,0.735,0.811,3,210000.0,591,1
THIN-000760,41,Shopkeeper,658,59100.0,5510.0,0.018,0.767,0.751,7,88000.0,636,1
THIN-000761,59,Vendor,82,112800.0,15650.0,0.136,0.847,0.502,33,235000.0,582,1
THIN-000762,58,Shopkeeper,214,86200.0,14740.0,0.153,0.467,0.343,5,122000.0,464,1
THIN-000763,47,Gig Worker,645,112600.0,8340.0,0.288,0.807,0.532,19,241000.0,529,1
THIN-000764,55,Shopkeeper,162,147000.0,18980.0,0.018,0.592,0.467,29,150000.0,628,1
THIN-000765,48,Shopkeeper,144,71800.0,15110.0,0.116,0.978,0.622,22,95000.0,594,1
THIN-000766,21,Vendor,538,36700.0,13830.0,0.184,0.678,0.445,9,224000.0,511,1
THIN-000767,59,Vendor,589,164200.0,13970.0,0.3,0.905,0.57,25,153000.0,561,1
THIN-000768,40,Gig Worker,366,139400.0,2540.0,0.353,0.688,0.755,54,171000.0,550,1
THIN-000769,21,Vendor,24,63500.0,9260.0,0.152,0.767,0.414,53,5000.0,547,1
THIN-000770,33,Shopkeeper,41,54300.0,21080.0,0.084,0.765,0.851,8,80000.0,557,1
THIN-000771,36,Vendor,508,72200.0,16480.0,0.112,0.597,0.525,40,223000.0,620,1
THIN-000772,20,Vendor,332,70800.0,26780.0,0.519,0.884,0.896,6,10000.0,476,0
THIN-000773,35,Gig Worker,571,82900.0,20040.0,0.208,0.486,0.699,14,306000.0,526,1
THIN-000774,22,Shopkeeper,637,37000.0,200.0,0.144,0.87,0.567,32,138000.0,595,1
THIN-000775,26,Gig Worker,344,158400.0,10510.0,0.374,0.785,0.564,32,12000.0,534,1
THIN-000776,34,Freelancer,43,126600.0,16410.0,0.349,0.783,0.461,31,306000.0,484,1
THIN-000777,48,Shopkeeper,730,22800.0,12950.0,0.181,0.77,0.661,40,139000.0,603,1
THIN-000778,26,Vendor,796,92500.0,200.0,0.08,0.747,0.866,50,146000.0,663,1
THIN-000779,42,Freelancer,274,122300.0,7990.0,0.248,0.674,0.841,10,241000.0,515,1
THIN-000780,43,Vendor,295,65900.0,920.0,0.604,0.586,0.506,20,146000.0,406,0
THIN-000781,41,Vendor,375,133900.0,200.0,0.591,0.803,0.646,44,107000.0,496,1
THIN-000782,59,Shopkeeper,772,94100.0,200.0,0.18,0.579,0.691,9,205000.0,511,1
THIN-000783,21,Gig Worker,507,48500.0,200.0,0.138,0.928,0.754,29,84000.0,617,1
THIN-000784,46,Shopkeeper,617,129100.0,6180.0,0.26,0.786,0.405,46,55000.0,567,1
THIN-000785,26,Gig Worker,505,150900.0,15080.0,0.392,0.675,0.544,41,210000.0,536,1
THIN-000786,59,Vendor,665,33900.0,10490.0,0.273,0.526,0.729,21,5000.0,513,1
THIN-000787,59,Vendor,117,73900.0,920.0,0.034,0.795,0.568,39,136000.0,634,1
THIN-000788,55,Vendor,674,75100.0,4570.0,0.383,0.829,0.31,53,147000.0,520,1
THIN-000789,49,Vendor,424,91400.0,4750.0,0.68,0.661,0.816,20,61000.0,462,0
THIN-000790,51,Shopkeeper,748,5000.0,9050.0,0.349,0.897,0.506,10,103000.0,462,0
THIN-000791,30,Vendor,665,30300.0,2120.0,0.425,0.953,0.556,35,115000.0,529,1
THIN-000792,23,Vendor,251,13100.0,21370.0,0.447,0.853,0.792,6,208000.0,444,0
THIN-000793,34,Vendor,396,82700.0,12470.0,0.132,0.868,0.405,5,159000.0,550,1
THIN-000794,50,Freelancer,722,72100.0,9510.0,0.451,0.91,0.57,11,5000.0,478,1
THIN-000795,20,Vendor,286,33200.0,200.0,0.15,0.925,0.491,4,27000.0,503,1
THIN-000796,52,Shopkeeper,466,26700.0,16810.0,0.052,0.817,0.661,56,294000.0,680,1
THIN-000797,52,Freelancer,580,50000.0,13140.0,0.17,0.845,0.598,26,122000.0,595,1
THIN-000798,57,Vendor,94,151400.0,18540.0,0.04,0.545,0.781,20,5000.0,603,1
THIN-000799,26,Gig Worker,287,50000.0,200.0,0.212,0.98,0.629,20,304000.0,539,1
THIN-000800,51,Freelancer,764,50000.0,5690.0,0.117,0.702,0.741,46,162000.0,638,1
THIN-000801,40,Shopkeeper,374,31900.0,16550.0,0.29,0.956,0.584,8,130000.0,508,1
THIN-000802,36,Vendor,681,52500.0,200.0,0.362,0.914,0.845,33,212000.0,554,1
THIN-000803,56,Vendor,394,103700.0,1340.0,0.371,0.7,0.594,50,262000.0,530,1
THIN-000804,33,Shopkeeper,698,70300.0,17630.0,0.443,0.82,0.565,33,133000.0,528,1
THIN-000805,55,Vendor,432,87400.0,8360.0,0.535,0.898,0.652,36,184000.0,534,1
THIN-000806,42,Gig Worker,477,158100.0,1860.0,0.278,0.863,0.701,17,87000.0,544,1
THIN-000807,32,Shopkeeper,362,26900.0,10810.0,0.441,0.517,0.646,50,169000.0,491,1
THIN-000808,38,Vendor,528,54900.0,1490.0,0.336,0.398,0.548,54,10000.0,496,1
THIN-000809,37,Gig Worker,654,24500.0,16570.0,0.194,0.867,0.639,55,91000.0,609,1
THIN-000810,47,Vendor,151,5000.0,6870.0,0.212,0.682,0.624,57,168000.0,520,1
THIN-000811,25,Shopkeeper,351,145600.0,10760.0,0.467,0.748,0.584,35,60000.0,520,1
THIN-000812,31,Gig Worker,578,126000.0,530.0,0.146,0.47,0.823,3,83000.0,520,1
THIN-000813,29,Shopkeeper,297,181200.0,12210.0,0.574,0.735,0.471,37,5000.0,489,1
THIN-000814,50,Vendor,352,159600.0,850.0,0.322,0.926,0.473,57,189000.0,553,1
THIN-000815,50,Gig Worker,662,104600.0,19550.0,0.256,0.811,0.727,43,149000.0,604,1
THIN-000816,21,Freelancer,264,128000.0,200.0,0.073,0.688,0.735,45,129000.0,632,1
THIN-000817,48,Shopkeeper,486,114700.0,15800.0,0.138,0.821,0.819,36,26000.0,662,1
THIN-000818,55,Freelancer,600,161500.0,1440.0,0.799,0.865,0.328,56,86000.0,471,1
THIN-000819,49,Shopkeeper,737,5000.0,200.0,0.152,0.79,0.825,17,89000.0,546,1
THIN-000820,56,Gig Worker,185,61600.0,2530.0,0.313,0.847,0.802,37,127000.0,547,1
THIN-000821,53,Shopkeeper,701,70500.0,6290.0,0.127,0.902,0.598,32,298000.0,636,1
THIN-000822,52,Gig Worker,185,89100.0,6160.0,0.102,0.764,0.692,37,19000.0,623,1
THIN-000823,55,Gig Worker,344,186900.0,200.0,0.459,0.533,0.561,32,225000.0,468,1
THIN-000824,22,Shopkeeper,547,26000.0,15500.0,0.418,0.861,0.652,50,66000.0,541,1
THIN-000825,35,Vendor,611,134300.0,25470.0,0.195,0.965,0.815,23,5000.0,624,1
THIN-000826,56,Shopkeeper,276,25500.0,12770.0,0.161,0.879,0.795,29,118000.0,601,1
THIN-000827,41,Vendor,198,76600.0,21810.0,0.264,0.906,0.765,34,11000.0,577,1
THIN-000828,45,Gig Worker,523,5000.0,200.0,0.047,0.424,0.597,34,194000.0,586,1
THIN-000829,45,Shopkeeper,543,105100.0,10480.0,0.131,0.843,0.539,43,268000.0,640,1
THIN-000830,23,Shopkeeper,416,80000.0,17370.0,0.467,0.919,0.48,4,147000.0,455,0
THIN-000831,47,Gig Worker,483,36700.0,200.0,0.372,0.783,0.821,17,79000.0,490,0
THIN-000832,45,Vendor,793,65000.0,200.0,0.193,0.691,0.5,53,160000.0,564,1
THIN-000833,58,Freelancer,145,137900.0,10230.0,0.115,0.801,0.654,38,167000.0,618,1
THIN-000834,37,Shopkeeper,82,27700.0,9150.0,0.079,0.944,0.455,19,232000.0,566,1
THIN-000835,53,Shopkeeper,721,191200.0,200.0,0.61,0.78,0.684,25,23000.0,474,1
THIN-000836,53,Shopkeeper,170,5000.0,200.0,0.275,0.682,0.625,36,167000.0,480,1
THIN-000837,44,Vendor,18,78100.0,18350.0,0.132,0.945,0.841,47,50000.0,620,1
THIN-000838,36,Vendor,779,5000.0,16770.0,0.223,0.714,0.692,5,192000.0,490,1
THIN-000839,58,Shopkeeper,90,126000.0,4800.0,0.191,0.87,0.853,12,26000.0,534,1
THIN-000840,45,Vendor,592,165700.0,12290.0,0.566,0.63,0.809,10,286000.0,458,0
THIN-000841,48,Vendor,532,67800.0,19230.0,0.347,0.703,0.425,38,5000.0,532,1
THIN-000842,55,Shopkeeper,280,24200.0,10620.0,0.336,0.701,0.748,27,110000.0,509,1
THIN-000843,43,Gig Worker,670,97600.0,18300.0,0.095,0.761,0.408,10,130000.0,575,1
THIN-000844,31,Shopkeeper,49,90300.0,14080.0,0.186,0.587,0.676,29,24000.0,528,1
THIN-000845,19,Shopkeeper,510,98800.0,200.0,0.195,0.364,0.698,6,22000.0,474,1
THIN-000846,56,Vendor,139,87000.0,10060.0,0.103,0.933,0.707,8,180000.0,568,1
THIN-000847,42,Vendor,674,33100.0,4060.0,0.181,0.64,0.708,43,96000.0,591,1
THIN-000848,59,Vendor,647,90900.0,1640.0,0.187,0.731,0.706,41,157000.0,604,1
THIN-000849,39,Vendor,271,84800.0,4590.0,0.431,0.767,0.4,59,134000.0,492,1
THIN-000850,59,Shopkeeper,636,137600.0,1590.0,0.313,0.688,0.782,19,138000.0,524,1
THIN-000851,19,Gig Worker,264,5300.0,4450.0,0.249,0.844,0.745,47,58000.0,550,1
THIN-000852,48,Gig Worker,37,170000.0,15120.0,0.237,0.96,0.789,54,38000.0,582,1
THIN-000853,46,Shopkeeper,790,95200.0,1370.0,0.204,0.603,0.62,40,226000.0,575,1
THIN-000854,24,Freelancer,222,115600.0,200.0,0.189,0.905,0.982,59,152000.0,612,1
THIN-000855,48,Vendor,105,49400.0,10900.0,0.485,0.735,0.84,42,6000.0,492,1
THIN-000856,38,Vendor,754,148400.0,16780.0,0.156,0.897,0.913,5,49000.0,596,1
THIN-000857,23,Gig Worker,496,6300.0,750.0,0.091,0.695,0.603,14,29000.0,550,1
THIN-000858,23,Shopkeeper,462,51700.0,200.0,0.563,0.733,0.802,56,115000.0,499,0
THIN-000859,21,Vendor,774,54700.0,19170.0,0.315,0.788,0.422,29,99000.0,530,1
THIN-000860,39,Vendor,59,111900.0,200.0,0.12,0.679,0.832,19,133000.0,539,1
THIN-000861,27,Freelancer,777,28600.0,18220.0,0.102,0.957,0.854,19,273000.0,642,1
THIN-000862,51,Freelancer,677,110500.0,200.0,0.286,0.8,0.778,55,261000.0,572,1
THIN-000863,30,Gig Worker,563,13300.0,16570.0,0.264,0.76,0.569,29,139000.0,540,1
THIN-000864,30,Vendor,320,129800.0,6210.0,0.192,0.529,0.855,20,27000.0,553,1
THIN-000865,48,Shopkeeper,438,53600.0,14370.0,0.292,0.653,0.738,37,123000.0,566,1
THIN-000866,37,Freelancer,205,51800.0,200.0,0.288,0.977,0.65,9,38000.0,474,1
THIN-000867,34,Vendor,349,113200.0,21170.0,0.059,0.968,0.447,56,5000.0,683,1
THIN-000868,39,Freelancer,598,124900.0,19140.0,0.377,0.595,0.857,24,87000.0,528,1
THIN-000869,20,Gig Worker,205,100700.0,7880.0,0.115,0.784,0.826,38,213000.0,636,1
THIN-000870,55,Vendor,285,100900.0,13120.0,0.305,0.684,0.51,55,197000.0,534,1
THIN-000871,58,Gig Worker,248,57700.0,10320.0,0.667,0.68,0.631,25,114000.0,438,1
THIN-000872,56,Freelancer,128,99200.0,24540.0,0.047,0.722,0.855,49,175000.0,666,1
THIN-000873,22,Gig Worker,666,5000.0,24570.0,0.095,0.954,0.775,15,5000.0,611,1
THIN-000874,55,Gig Worker,749,103100.0,200.0,0.24,0.673,0.963,56,146000.0,590,1
THIN-000875,48,Shopkeeper,666,127500.0,9920.0,0.068,0.977,0.298,53,172000.0,670,1
THIN-000876,50,Shopkeeper,593,14600.0,14010.0,0.372,0.657,0.849,14,174000.0,485,0
THIN-000877,54,Vendor,390,21800.0,30110.0,0.114,0.912,0.901,44,234000.0,676,1
THIN-000878,19,Shopkeeper,32,70300.0,9070.0,0.476,0.878,0.317,23,166000.0,422,0
THIN-000879,45,Vendor,777,5000.0,6180.0,0.276,0.84,0.399,26,32000.0,506,1
THIN-000880,33,Vendor,96,60700.0,9510.0,0.546,0.844,0.809,29,72000.0,474,1
THIN-000881,35,Gig Worker,32,79300.0,11480.0,0.201,0.875,0.4,41,5000.0,541,1
THIN-000882,42,Vendor,550,43600.0,18830.0,0.332,0.83,0.895,51,51000.0,587,1
THIN-000883,34,Shopkeeper,401,135900.0,28090.0,0.657,0.943,0.85,24,169000.0,523,1
THIN-000884,27,Shopkeeper,124,81200.0,9840.0,0.202,0.894,0.648,50,116000.0,578,1
THIN-000885,39,Gig Worker,294,100900.0,15890.0,0.374,0.753,0.479,54,163000.0,523,1
THIN-000886,41,Shopkeeper,625,198600.0,8580.0,0.509,0.899,0.581,43,62000.0,541,1
THIN-000887,35,Freelancer,103,43200.0,4480.0,0.205,0.837,0.614,51,160000.0,553,1
THIN-000888,23,Shopkeeper,363,104400.0,14110.0,0.295,0.944,0.61,25,5000.0,560,1
THIN-000889,36,Vendor,79,84100.0,4620.0,0.235,0.767,0.829,50,97000.0,557,1
THIN-000890,54,Shopkeeper,172,165800.0,4810.0,0.133,0.543,0.419,28,10000.0,541,1
THIN-000891,30,Gig Worker,511,75800.0,12550.0,0.152,0.551,0.797,53,89000.0,618,1
THIN-000892,54,Gig Worker,482,28800.0,11920.0,0.144,0.656,0.628,3,204000.0,524,1
THIN-000893,53,Freelancer,723,84900.0,1980.0,0.31,0.591,0.664,54,89000.0,542,1
THIN-000894,30,Shopkeeper,363,156200.0,16720.0,0.194,0.871,0.682,12,278000.0,568,1
THIN-000895,55,Vendor,715,12900.0,11300.0,0.241,0.632,0.649,37,254000.0,556,1
THIN-000896,35,Gig Worker,184,126100.0,11980.0,0.231,0.852,0.454,27,5000.0,537,1
THIN-000897,58,Gig Worker,258,96000.0,14630.0,0.189,0.829,0.406,26,125000.0,554,1
THIN-000898,19,Shopkeeper,300,83300.0,20980.0,0.381,0.727,0.725,43,284000.0,541,1
THIN-000899,30,Shopkeeper,412,38100.0,9350.0,0.274,0.663,0.494,13,28000.0,488,1
THIN-000900,51,Gig Worker,18,124500.0,7270.0,0.231,0.807,0.679,27,5000.0,525,1
THIN-000901,39,Freelancer,220,57300.0,11750.0,0.222,0.716,0.566,23,199000.0,522,1
THIN-000902,32,Vendor,528,160100.0,4920.0,0.466,0.838,0.535,11,148000.0,470,1
THIN-000903,20,Shopkeeper,759,5000.0,2390.0,0.139,0.899,0.648,21,207000.0,572,1
THIN-000904,58,Shopkeeper,515,199300.0,19300.0,0.14,0.456,0.391,17,101000.0,542,1
THIN-000905,25,Vendor,536,31100.0,6030.0,0.254,0.739,0.248,46,47000.0,533,1
THIN-000906,41,Shopkeeper,484,45900.0,530.0,0.214,0.67,0.42,23,85000.0,514,1
THIN-000907,41,Freelancer,307,40200.0,200.0,0.119,0.615,0.746,14,226000.0,538,1
THIN-000908,45,Vendor,770,171400.0,20010.0,0.126,0.769,0.755,15,53000.0,610,1
THIN-000909,36,Vendor,450,47400.0,10990.0,0.4,0.833,0.834,57,60000.0,563,1
THIN-000910,21,Shopkeeper,578,80400.0,5840.0,0.172,0.704,0.682,27,383000.0,589,1
THIN-000911,44,Vendor,101,139000.0,1750.0,0.174,0.657,0.481,14,56000.0,487,1
THIN-000912,22,Shopkeeper,184,108100.0,8330.0,0.073,0.889,0.464,21,154000.0,599,1
THIN-000913,33,Vendor,311,72100.0,6370.0,0.312,0.809,0.527,49,139000.0,544,1
THIN-000914,46,Vendor,57,138600.0,9470.0,0.444,0.792,0.639,10,202000.0,426,1
THIN-000915,47,Shopkeeper,145,5000.0,13610.0,0.283,0.827,0.437,45,110000.0,496,1
THIN-000916,21,Vendor,85,122900.0,280.0,0.291,0.291,0.868,11,110000.0,416,1
THIN-000917,19,Vendor,213,163100.0,13990.0,0.524,0.798,0.665,41,80000.0,508,1
THIN-000918,48,Shopkeeper,531,91600.0,15620.0,0.723,0.861,0.924,25,111000.0,509,1
THIN-000919,46,Shopkeeper,386,97400.0,20100.0,0.301,0.758,0.51,10,73000.0,496,1
THIN-000920,33,Gig Worker,278,49600.0,1360.0,0.113,0.769,0.642,28,5000.0,592,1
THIN-000921,50,Vendor,530,155600.0,6940.0,0.152,0.694,0.702,4,5000.0,550,1
THIN-000922,41,Shopkeeper,584,140000.0,200.0,0.289,0.608,0.563,37,5000.0,534,1
THIN-000923,45,Vendor,395,141500.0,7450.0,0.215,0.97,0.553,46,65000.0,618,1
THIN-000924,51,Freelancer,350,84600.0,7800.0,0.355,0.806,0.635,21,85000.0,513,1
THIN-000925,34,Vendor,768,34500.0,6860.0,0.599,0.773,0.743,46,212000.0,508,1
THIN-000926,20,Gig Worker,528,115300.0,3210.0,0.503,0.597,0.781,12,146000.0,455,1
THIN-000927,57,Vendor,257,137400.0,5010.0,0.512,0.636,0.878,32,150000.0,500,1
THIN-000928,27,Gig Worker,130,5000.0,2900.0,0.196,0.835,0.65,5,132000.0,460,0
THIN-000929,52,Freelancer,553,34400.0,8760.0,0.236,0.792,0.676,26,5000.0,562,1
THIN-000930,44,Gig Worker,255,165100.0,8450.0,0.434,0.71,0.426,49,165000.0,496,1
THIN-000931,19,Shopkeeper,533,69100.0,9840.0,0.434,0.822,0.744,57,138000.0,550,1
THIN-000932,20,Shopkeeper,212,75900.0,20010.0,0.32,0.881,0.554,14,119000.0,489,1
THIN-000933,19,Freelancer,276,5000.0,200.0,0.235,0.814,0.838,32,254000.0,534,1
THIN-000934,54,Shopkeeper,720,160800.0,14990.0,0.232,0.878,0.832,30,190000.0,618,1
THIN-000935,37,Gig Worker,316,42300.0,13040.0,0.099,0.599,0.736,58,107000.0,626,1
THIN-000936,58,Gig Worker,254,5000.0,14160.0,0.106,0.893,0.799,15,138000.0,575,1
THIN-000937,21,Gig Worker,796,134900.0,8310.0,0.112,0.919,0.798,31,74000.0,670,1
THIN-000938,41,Gig Worker,692,21500.0,200.0,0.224,0.475,0.475,48,182000.0,513,1
THIN-000939,25,Gig Worker,715,5000.0,11800.0,0.232,0.815,0.652,42,144000.0,570,1
THIN-000940,45,Shopkeeper,439,70300.0,200.0,0.151,0.726,0.831,36,235000.0,617,1
THIN-000941,40,Gig Worker,279,113100.0,5900.0,0.042,0.801,0.479,31,76000.0,648,1
THIN-000942,45,Vendor,600,66000.0,200.0,0.412,0.658,0.635,26,192000.0,480,1
THIN-000943,52,Gig Worker,776,73900.0,10270.0,0.036,0.768,0.489,22,96000.0,644,1
THIN-000944,52,Shopkeeper,625,84900.0,10850.0,0.492,0.727,0.649,57,5000.0,523,1
THIN-000945,38,Freelancer,441,126200.0,3400.0,0.088,0.913,0.503,33,99000.0,656,1
THIN-000946,33,Vendor,562,44600.0,13240.0,0.267,0.637,0.511,30,50000.0,535,1
THIN-000947,34,Shopkeeper,284,107200.0,12830.0,0.11,0.709,0.396,52,23000.0,607,1
THIN-000948,53,Gig Worker,319,37000.0,4810.0,0.105,0.824,0.87,40,138000.0,653,1
THIN-000949,30,Freelancer,531,101500.0,16060.0,0.485,0.88,0.675,24,129000.0,518,1
THIN-000950,34,Shopkeeper,225,82000.0,23160.0,0.207,0.738,0.873,37,20000.0,599,1
THIN-000951,30,Shopkeeper,172,118700.0,1030.0,0.129,0.733,0.381,40,217000.0,569,1
THIN-000952,53,Shopkeeper,97,47700.0,12900.0,0.481,0.921,0.689,20,207000.0,459,0
THIN-000953,23,Freelancer,686,99300.0,12510.0,0.119,0.815,0.788,25,186000.0,638,1
THIN-000954,37,Freelancer,182,102700.0,200.0,0.345,0.773,0.854,57,104000.0,526,1
THIN-000955,36,Vendor,204,128500.0,27310.0,0.287,0.475,0.88,36,131000.0,545,1
THIN-000956,36,Vendor,34,142300.0,11830.0,0.148,0.671,0.717,18,128000.0,532,1
THIN-000957,27,Freelancer,498,113500.0,3800.0,0.217,0.654,0.866,55,5000.0,605,1
THIN-000958,36,Vendor,749,6500.0,2310.0,0.045,0.86,0.813,14,80000.0,622,1
THIN-000959,24,Freelancer,460,112100.0,9730.0,0.235,0.894,0.511,38,39000.0,598,1
THIN-000960,57,Vendor,600,41400.0,21050.0,0.282,0.852,0.492,27,70000.0,546,1
THIN-000961,43,Shopkeeper,230,131300.0,8840.0,0.052,0.773,0.899,46,53000.0,686,1
THIN-000962,36,Gig Worker,201,54700.0,25310.0,0.185,0.829,0.635,35,257000.0,587,1
THIN-000963,55,Vendor,722,114600.0,13160.0,0.34,0.886,0.558,21,137000.0,532,1
THIN-000964,28,Vendor,679,161400.0,3840.0,0.114,0.635,0.639,23,238000.0,601,1
THIN-000965,31,Gig Worker,410,62800.0,7330.0,0.211,0.896,0.917,16,115000.0,586,1
THIN-000966,25,Vendor,263,152100.0,21000.0,0.438,0.717,0.595,11,125000.0,454,1
THIN-000967,43,Freelancer,157,14200.0,10100.0,0.325,0.885,0.679,56,5000.0,524,1
THIN-000968,44,Shopkeeper,578,40500.0,200.0,0.229,0.902,0.838,9,97000.0,530,1
THIN-000969,46,Vendor,60,99400.0,200.0,0.577,0.72,0.658,51,149000.0,439,1
THIN-000970,48,Shopkeeper,442,103500.0,7430.0,0.066,0.897,0.666,19,152000.0,649,1
THIN-000971,38,Shopkeeper,669,6100.0,9170.0,0.261,0.957,0.834,51,113000.0,592,1
THIN-000972,59,Vendor,360,118500.0,4530.0,0.236,0.852,0.748,56,293000.0,605,1
THIN-000973,29,Freelancer,94,5000.0,8270.0,0.113,0.767,0.729,25,187000.0,549,1
THIN-000974,59,Shopkeeper,112,5000.0,19690.0,0.33,0.641,0.908,36,150000.0,501,1
THIN-000975,45,Gig Worker,24,116700.0,2090.0,0.544,0.781,0.604,30,154000.0,440,1
THIN-000976,47,Vendor,418,89800.0,10900.0,0.599,0.709,0.678,41,233000.0,509,1
THIN-000977,51,Shopkeeper,631,32100.0,4820.0,0.105,0.864,0.551,13,122000.0,582,1
THIN-000978,23,Gig Worker,690,23000.0,15740.0,0.444,0.726,0.801,33,160000.0,526,1
THIN-000979,46,Gig Worker,116,86300.0,6590.0,0.054,0.77,0.568,43,140000.0,631,1
THIN-000980,49,Gig Worker,64,128900.0,5040.0,0.178,0.775,0.594,51,5000.0,563,1
THIN-000981,40,Shopkeeper,563,72300.0,12660.0,0.17,0.694,0.777,18,241000.0,578,1
THIN-000982,58,Gig Worker,466,119000.0,26610.0,0.133,0.85,0.879,59,122000.0,677,1
THIN-000983,50,Gig Worker,96,102700.0,14530.0,0.056,0.779,0.519,32,130000.0,619,1
THIN-000984,56,Gig Worker,436,117600.0,270.0,0.081,0.767,0.472,11,99000.0,571,1
THIN-000985,27,Shopkeeper,716,114600.0,12040.0,0.136,0.829,0.448,48,116000.0,629,1
THIN-000986,25,Gig Worker,796,5000.0,13290.0,0.291,0.832,0.525,6,25000.0,465,1
THIN-000987,49,Shopkeeper,279,87600.0,16760.0,0.147,0.582,0.655,47,107000.0,596,1
THIN-000988,36,Vendor,236,48000.0,6060.0,0.167,0.574,0.68,15,159000.0,517,0
THIN-000989,55,Freelancer,139,94400.0,200.0,0.286,0.557,0.559,27,168000.0,462,1
THIN-000990,33,Gig Worker,617,106400.0,5010.0,0.502,0.841,0.734,18,59000.0,495,1
THIN-000991,20,Shopkeeper,67,72500.0,15780.0,0.128,0.599,0.412,43,13000.0,551,1
THIN-000992,54,Shopkeeper,759,115200.0,8020.0,0.062,0.509,0.533,47,5000.0,641,1
THIN-000993,20,Gig Worker,570,85800.0,3280.0,0.199,0.938,0.466,3,120000.0,521,1
THIN-000994,37,Shopkeeper,171,119300.0,200.0,0.189,0.733,0.819,54,5000.0,571,1
THIN-000995,38,Shopkeeper,627,69900.0,200.0,0.225,0.6,0.547,59,188000.0,546,1
THIN-000996,49,Vendor,656,174000.0,540.0,0.187,0.666,0.513,47,14000.0,581,1
THIN-000997,39,Freelancer,514,35400.0,5920.0,0.267,0.662,0.77,35,208000.0,566,1
THIN-000998,21,Shopkeeper,518,119400.0,9440.0,0.469,0.817,0.8,31,144000.0,541,1
THIN-000999,27,Vendor,338,31700.0,10990.0,0.432,0.412,0.69,11,241000.0,421,0
THIN-001000,26,Gig Worker,149,43500.0,7360.0,0.242,0.939,0.391,8,166000.0,470,0
THIN-001001,23,Shopkeeper,535,62600.0,16440.0,0.151,0.884,0.616,26,147000.0,613,1
THIN-001002,43,Shopkeeper,119,216200.0,200.0,0.304,0.861,0.528,26,199000.0,491,1
THIN-001003,24,Vendor,397,161100.0,200.0,0.392,0.782,0.289,21,5000.0,464,1
THIN-001004,30,Vendor,638,70600.0,7260.0,0.151,0.526,0.464,14,144000.0,527,1
THIN-001005,51,Vendor,559,156300.0,15940.0,0.208,0.854,0.947,47,85000.0,650,1
THIN-001006,36,Shopkeeper,77,5000.0,14560.0,0.132,0.38,0.519,13,113000.0,448,0
THIN-001007,32,Vendor,499,152500.0,12710.0,0.184,0.903,0.749,23,117000.0,613,1
THIN-001008,43,Gig Worker,761,118500.0,200.0,0.336,0.743,0.803,57,5000.0,554,1
THIN-001009,35,Vendor,744,66800.0,9190.0,0.438,0.675,0.667,29,159000.0,508,1
